Date,VN_Index_Close,Total Volume,Total Value
2008-08-26,561.67,18048560.0,895370000000.0
2008-08-27,561.85,31180910.0,1318140000000.0
2008-08-28,547.69,36797260.0,1614410000000.0
2008-08-29,539.1,32179910.0,1445840000000.0
2008-09-03,555.14,16886900.0,854690000000.0
2008-09-04,558.56,30525100.0,1211080000000.0
2008-09-05,546.66,20986770.0,836300000000.0
2008-09-08,532.71,35169400.0,1238360000000.0
2008-09-09,525.49,28440210.0,1096060000000.0
2008-09-10,514.45,26168190.0,861150000000.0
2008-09-11,497.01,15953230.0,602030000000.0
2008-09-12,476.0,14343030.0,572080000000.0
2008-09-15,476.76,30679820.0,1187890000000.0
2008-09-16,455.95,16051147.0,570880000000.0
2008-09-17,437.24,13601220.0,517600000000.0
2008-09-18,419.28,12153627.0,452620000000.0
2008-09-19,439.06,25121360.0,847610000000.0
2008-09-22,459.86,14199843.0,466500000000.0
2008-09-23,465.87,38366700.0,1395650000000.0
2008-09-24,455.05,13999710.0,483640000000.0
2008-09-25,470.43,17565660.0,710810000000.0
2008-09-26,483.81,21831600.0,869990000000.0
2008-09-29,479.0,18454240.0,737630000000.0
2008-09-30,456.7,4411610.0,179760000000.0
2008-10-01,454.41,18914690.0,704100000000.0
2008-10-02,460.25,15166458.0,552350000000.0
2008-10-03,452.14,12075800.0,420090000000.0
2008-10-06,433.71,14255670.0,493130000000.0
2008-10-07,414.24,10124280.0,355160000000.0
2008-10-08,401.33,14702100.0,433160000000.0
2008-10-09,397.68,21011180.0,633770000000.0
2008-10-10,379.06,16048060.0,428580000000.0
2008-10-13,371.67,12783440.0,381850000000.0
2008-10-14,389.33,9069230.0,300930000000.0
2008-10-15,397.15,24085460.0,762190000000.0
2008-10-16,384.61,16495740.0,483960000000.0
2008-10-17,382.51,11159850.0,362060000000.0
2008-10-20,370.8,10602200.0,311310000000.0
2008-10-21,379.94,15179179.0,462310000000.0
2008-10-22,374.91,9900690.0,305040000000.0
2008-10-23,360.43,13139270.0,405940000000.0
2008-10-24,345.11,11633800.0,348340000000.0
2008-10-27,329.28,13382940.0,407500000000.0
2008-10-28,322.8,17164620.0,491500000000.0
2008-10-29,331.62,22120310.0,700050000000.0
2008-10-30,336.57,17126980.0,514320000000.00006
2008-10-31,347.05,14190870.0,432150000000.0
2008-11-03,347.73,17393430.0,488960000000.0
2008-11-04,361.44,18877580.0,534530000000.0
2008-11-05,377.83,15503490.0,482890000000.0
2008-11-06,379.51,29624400.0,953790000000.0
2008-11-07,365.97,16880770.0,542039999999.99994
2008-11-10,366.0,15996620.0,517980000000.0
2008-11-11,351.71,15626160.0,474030000000.0
2008-11-12,342.33,14679740.0,492690000000.0
2008-11-13,346.24,14448660.0,472180000000.0
2008-11-14,352.07,13835700.0,445500000000.0
